comp338179_c0_seq1 	 256
comp450330_c0_seq1 	 212
comp368908_c0_seq1 	 245
comp475890_c0_seq1 	 209
comp347043_c0_seq1 	 320
comp389200_c0_seq1 	 216
comp338408_c0_seq1 	 373
comp492690_c0_seq1 	 222
comp477259_c0_seq1 	 205
comp406932_c0_seq1 	 202
comp428883_c0_seq1 	 293
comp342390_c0_seq1 	 238
comp371028_c0_seq1 	 321
comp395344_c0_seq1 	 214
comp442966_c0_seq1 	 208
comp421964_c0_seq1 	 250
comp355560_c0_seq1 	 217
comp453440_c0_seq1 	 203
comp389677_c0_seq1 	 368
comp374767_c0_seq1 	 244
comp381653_c0_seq1 	 226
comp345907_c0_seq1 	 253
comp367595_c0_seq1 	 204
comp398270_c0_seq1 	 237
comp360717_c0_seq1 	 223
comp411187_c0_seq1 	 268
comp445081_c0_seq1 	 396
comp345263_c0_seq1 	 248
comp417292_c0_seq1 	 207
comp414826_c0_seq1 	 247
comp364876_c0_seq2 	 276
comp378342_c0_seq1 	 261
comp427623_c0_seq1 	 255
comp367334_c0_seq1 	 357
comp405088_c0_seq1 	 249
comp361240_c0_seq1 	 220
comp442228_c0_seq1 	 220
comp372471_c0_seq1 	 262
comp447911_c0_seq2 	 373
comp414632_c0_seq1 	 208
comp382477_c0_seq1 	 242
comp428955_c0_seq1 	 206
comp448423_c0_seq1 	 208
comp452436_c0_seq1 	 207
comp358679_c0_seq1 	 251
comp480753_c0_seq1 	 207
comp366021_c0_seq1 	 246
comp352097_c0_seq1 	 217
comp426841_c0_seq1 	 231
comp470435_c0_seq2 	 266
comp356942_c0_seq1 	 261
comp368162_c0_seq1 	 238
comp409784_c0_seq1 	 322
comp338543_c0_seq1 	 231
comp454233_c0_seq1 	 233
comp489964_c0_seq1 	 252
comp339786_c0_seq1 	 252
comp347925_c0_seq1 	 564
comp399687_c0_seq1 	 203
comp446954_c0_seq1 	 309
comp474644_c0_seq1 	 216
comp485248_c0_seq1 	 203
comp408891_c0_seq1 	 232
comp367128_c0_seq1 	 212
comp437877_c0_seq1 	 201
comp401937_c0_seq1 	 223
comp380001_c0_seq1 	 213
comp340265_c0_seq1 	 227
comp400788_c0_seq1 	 402
comp400515_c0_seq1 	 248
comp345958_c0_seq1 	 216
comp363861_c0_seq1 	 232
comp440779_c0_seq1 	 268
comp459065_c0_seq1 	 224
comp408112_c0_seq1 	 218
comp445399_c0_seq1 	 240
comp357301_c0_seq1 	 362
comp425893_c0_seq1 	 269
comp376218_c0_seq1 	 309
comp392195_c0_seq1 	 310
comp388855_c0_seq1 	 202
comp474248_c0_seq1 	 207
comp351347_c0_seq1 	 445
comp358889_c0_seq1 	 233
comp407589_c0_seq1 	 261
comp419726_c0_seq1 	 348
comp347594_c0_seq1 	 249
comp347630_c0_seq1 	 206
comp436977_c0_seq1 	 409
comp354084_c0_seq1 	 439
comp363086_c0_seq1 	 296
comp403156_c0_seq1 	 251
comp436618_c0_seq1 	 252
comp382049_c0_seq1 	 299
comp345834_c0_seq1 	 305
comp425694_c0_seq1 	 222
comp348874_c0_seq2 	 340
comp458202_c0_seq1 	 235
comp354337_c0_seq1 	 290
comp392251_c0_seq1 	 285
comp490954_c0_seq1 	 257
comp414974_c0_seq1 	 267
comp350975_c0_seq1 	 212
comp566303_c0_seq1 	 204
comp404208_c0_seq1 	 250
comp429133_c0_seq1 	 205
comp359497_c0_seq1 	 238
comp461722_c0_seq1 	 326
comp422446_c0_seq1 	 238
comp343290_c0_seq1 	 261
comp343514_c0_seq1 	 241
comp431440_c0_seq1 	 265
comp340292_c0_seq1 	 274
comp356422_c0_seq1 	 226
comp438791_c0_seq1 	 250
comp341925_c0_seq1 	 331
comp395407_c0_seq1 	 265
comp461658_c0_seq1 	 381
comp415129_c0_seq1 	 262
comp358854_c0_seq1 	 228
comp397671_c0_seq1 	 466
comp344695_c0_seq1 	 233
comp403897_c0_seq1 	 210
comp602461_c0_seq1 	 203
comp384934_c0_seq1 	 209
comp407929_c0_seq1 	 217
comp408140_c0_seq1 	 418
comp359704_c0_seq1 	 322
